SMILES,IC50,Unit,Unit_Source,IC50-min,IC50-max
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=CC=C(C=C3)OC,18700,nM,original,18700.0,18700.0
C[C@H](CNC1=NC2=C(N1CC3=CC(=CC=C3)OC)C(=O)N(C(=O)N2C)C)O,3900,nM,original,3900.0,3900.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCCO)CC3=CC(=CC=C3)OC,15600,nM,original,15600.0,15600.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCC(=O)OC)CC3=CC(=CC=C3)OC,11900,nM,original,11900.0,11900.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=CC=CC=C3,3700,nM,original,3700.0,3700.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCC(=O)N)CC3=CC(=CC=C3)OC,21900,nM,original,21900.0,21900.0
C[C@@H](CNC1=NC2=C(N1CC3=CC(=CC=C3)OC)C(=O)N(C(=O)N2C)C)O,13700,nM,original,13700.0,13700.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=C(C=CC=C3F)F,17800,nM,original,17800.0,17800.0
CC1=CC=CC=C1CN2C3=C(N=C2NCCO)N(C(=O)N(C3=O)C)C,19100,nM,original,19100.0,19100.0
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCO)CC3=CC(=CC=C3)F,14200,nM,original,14200.0,14200.0
C[C@@H](CO)NC1=NC2=C(N1CC3=CC(=CC=C3)OC)C(=O)N(C(=O)N2C)C,18000,nM,original,18000.0,18000.0
C1=CC=C(C=C1)C(CN(CCCOC2=CC=CC(=C2)CC(=O)O)CC3=C(C(=CC=C3)C(F)(F)F)Cl)C4=CC=CC=C4,100,nM,original,100.0,100.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,10,nM,original,10.0,10.0
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)C(=O)O)C=CC=C3C(F)(F)F,130,nM,original,130.0,130.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,9.5,nM,original,9.5,9.5
COC(=O)C1=CC=C(C=C1)COC2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3C(=O)C5=CC=CC=C5)C(F)(F)F,>1000,nM,original,1000.0,2000.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC(=CC=C4)NCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,7.6,nM,original,7.6,7.6
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC(=CC=C5)C(=O)O)C=CC=C3C(F)(F)F,1871,nM,original,1871.0,1871.0
C1=CC=C(C=C1)CC2=CN=C3C(=C2C4=CC=CC(=C4)CNC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,47,nM,original,47.0,47.0
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC=C(C=C4)OCC5=CC=C(C=C5)C(=O)O)C=CC=C3C(F)(F)F,723,nM,original,723.0,723.0
CN(CC1=CC=C(C=C1)CC(=O)O)C2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3CC5=CC=CC=C5)C(F)(F)F,274,nM,original,274.0,274.0
