average,sample_weight,SMILES,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27
26.9,1.0,CC(C)CC1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-29.372113393693642,-5.300107101790396,-0.44989773021280566,4.331466491877668,-5.467678153738143,-8.728176303529759,8.71979077819238,-4.151300424590963,5.022116685906836,-5.283151047518736,-2.676942472834534,10.772748923590408,-4.0879884816219345,0.0314403117865459,-5.248768374004231,9.602652914383693,2.1848852511591046,5.405171542092397,1.1169852376977225,2.6649511083311066,1.7800626811849727,4.917190869524292,0.31761123465153795,2.325293524758757,-8.563206969539953,1.4921925226165438,1.068880820345788
27.6,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-28.35280872735067,-12.78047736894063,-0.9824765797019491,-7.37826979343239,-0.1282751069920043,-9.434944980891565,3.115583983537004,2.32255972871711,-1.7539347709864548,4.584575754143661,-0.30063941384056664,-0.3239904022672858,3.3462546349240854,-6.868650723137067,-3.584500863920624,-6.033555269407398,1.216835295394234,-3.679868021946837,-1.4902747530644922,-0.274529637262242,5.461476643500332,-2.024436035910404,2.179102372146613,2.576570977874407,2.148173095398656,0.42822775893245185,1.4575824299783489
31.1,1.0,CCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,-30.558752560465123,4.219096809290124,-0.570220870707363,17.099418492968876,0.8601857610363164,6.934076280735316,-9.654316717419302,1.4553949054475082,-1.288327269283211,1.7877224480849438,-3.1698178595380413,1.6320682756804301,-2.3099042206399965,0.8640856002732193,-4.032036839301616,-1.7812089697605953,2.620037406947521,1.0366611521247906,-2.4655368431575226,11.696699228781615,3.2665831412061492,-2.2264596495270945,-0.23689300897591864,2.107674953987172,-5.982020935710162,3.673967711113989,1.0119590403327066
36.6,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-29.62937355000318,-10.051500182284439,-2.3638813759434014,-7.836419140232702,0.41910884255653597,-8.494736044294257,4.682018259901652,1.9881778832377635,-1.7538272519529519,5.791093141849892,-3.4492918872583194,3.9711064404405594,2.570497520335097,-5.907072153794766,0.10469457499279823,-2.5102406751631468,2.5325228883996984,0.1252960757376411,-1.4187044140176115,-0.592080100243159,2.6951655780263577,-0.9183999844733765,-1.7769471107071393,2.3806149503822165,0.11792853277093239,2.7132251658450843,-0.9505753390485016
23.8,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-25.876241728680135,-15.440719982923087,2.7293563218210743,-7.707007113737145,-5.283470739202772,-7.354161523121647,3.7360424217543704,3.444827008908574,-5.47944859073272,2.4986275984982096,2.2095110636511013,-4.96091807040488,-0.10842189654445988,0.2661402721012458,-2.657167064155811,-6.688514775994777,-1.4127426726718983,-5.865131356392354,-1.8100883168482527,-2.068075536167635,5.061215348779752,-5.740382603326232,6.266897705764544,0.5967718756581222,5.258007113454897,-3.5311500132946794,1.7160064950717284
21.5,1.0,O=C(O)Cc1ccc(Cl)c(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-27.54914514462802,-7.223397329715653,1.9813878891134615,9.737743179968177,-0.3878391526812966,5.024616762233651,-11.959219620448126,9.203397559276459,-9.759273430672804,-6.274498028543408,12.158860131593803,0.8601331189237498,8.246874286389136,-7.723876336557849,-0.9293397339081436,-3.8337467176304623,-0.416735951422476,3.1759909567064466,-2.323849264046088,-3.476474660545939,1.781873235933441,3.5907546825327215,1.4966461722058282,6.60969601376683,-0.4363712789945094,5.475257508409827,2.5597052178713824
22.9,1.0,CCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,-32.5212002690788,8.259516865635424,-5.423496984173502,22.969150800147794,6.052469845347268,1.700908425230823,-10.43591630660998,-5.927182171060022,5.731061201544763,4.652191593142024,-2.718130668089784,-1.0585134822553834,0.3207131557627594,0.22956470336331367,1.982065654303022,-0.016947717954105712,-0.17027602943696715,-0.061738023694022585,-0.9818018511622161,0.25866052708094456,2.203645873022408,-0.3426350749025393,0.727922943677653,1.1464656139963283,1.756391327472498,-1.9483567975004186,-1.7394019558111113
28.7,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,-13.803113726799491,-1.8979554413025892,-0.6302642860286868,-27.01467285132702,10.060728900672297,11.667924320990489,-8.610185685302305,-3.153625013559485,-4.6043285296164935,-2.7248024267598847,-4.377337042413591,8.277556432564182,-5.353907663922177,-2.486815929481234,-2.518626616909744,3.182456597893156,-0.35487759365288546,-6.87430373278351,2.714721680139643,2.702273434927324,1.4033976973403364,-5.91409080849811,-2.4794645134483906,-6.332671638953162,-2.365176131292373,2.1543271224084104,-1.609570152035475
25.1,1.0,CC1CCCN1C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-27.2411236481924,-12.17051452240675,3.3169472522471546,-7.768042596046907,-8.033466481586942,-9.310424618533066,10.734034269746624,0.280427179662355,-1.0593297832746071,0.6559757127557919,-6.436409583725217,4.990804370895678,-0.41105098342971075,0.08535547907760564,-2.320620311738201,6.933013886908431,1.0518815971566005,4.398890344789872,-3.0761052222551273,4.618065806470722,-2.043596877026729,10.127141848397919,8.515487595872445,-1.9065565355340461,7.852695667156321,-5.741758057049522,2.3703085857911694
26.7,1.0,CCCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,-27.9552182127864,-0.1006365739890574,2.232839483480663,17.38566294136045,-2.503737737891869,6.095592460307749,-7.466905601154672,-0.058688760707787224,-2.3149031715644703,-0.6952102150930631,0.32344384941264925,-4.028935173383383,-1.089161762860038,4.924466768185806,-4.229361883605771,-2.0788163828528754,-1.313427823853284,0.05120527497873511,-1.798078365006147,12.846080154260484,2.035677064078834,-2.055282932854641,4.193006471247389,-1.4944407546944665,-0.9741476207625883,-3.617829983462076,-3.02717673261242
