average,sample_weight,SMILES,WHIM_76,RDKit2D_fr_ketone,FP_AtomPair1024_521,FP_Morgan1024_r2_67,GETAWAY_193,FP_RDKit512_433,FP_RDKit512_387,FP_AtomPair1024_255,FP_Morgan1024_r2_123,FP_AtomPair1024_12,FP_TopoTorsion1024_704,RDKit2D_VSA_EState5,RDKit2D_PEOE_VSA11,GETAWAY_229,FP_AtomPair1024_402,FP_AtomPair1024_711,GETAWAY_18,FP_AtomPair1024_707,WHIM_43,FP_RDKit512_165,FP_MorganFeat1024_r2_246,Shape_Ratio_W_T,WHIM_21,FP_AtomPair1024_787,Graph_Centrality_Mean,MORSE_129,Pharm2D_Gobbi_169,RDKit2D_VSA_EState9,FP_AtomPair1024_90,FP_Morgan1024_r2_205,FP_Morgan1024_r2_751,WHIM_101,FP_Morgan1024_r2_399,FP_AtomPair1024_782,FP_AtomPair1024_553,FP_Morgan1024_r2_580,FP_RDKit512_362,FP_RDKit512_25,FP_AtomPair1024_9,AC3D_58,FP_MACCS_111,FP_Morgan1024_r2_673,FP_Morgan1024_r2_121,MORSE_65,FP_AtomPair1024_997,FP_Morgan1024_r2_310
29.2,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,0.12596899224806213,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.7790230492301983,0.0,0.47058823529411764,0.0,0.0,-0.9618320610687014,0.0,0.0,0.0,0.0,1.8740270610674077,-0.531024531024531,0.0,-0.09881172625261347,0.5431596091205219,0.0,0.0,0.0,0.0,0.0,-0.4435797665369643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9131075110456558,0.0,0.0,0.0,0.4309760304526256,0.0,0.0
22.7,1.0,CCC(C)C1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,-0.6841085271317828,0.0,0.0,0.0,2.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.5063291736872744,0.0,1.5294117647058807,0.0,0.0,0.6564885496183211,0.0,-0.6031195840554595,0.0,0.0,0.6360784194405655,-1.0043290043290045,0.0,0.8616544768441786,-0.3335272219637039,0.0,0.0,0.0,0.0,0.0,-1.2840466926070027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6892488954344625,0.0,0.0,0.0,-0.6067923630524006,0.0,0.0
26.9,1.0,CC(C)CC1(CCOc2cc(Cl)cc(CC(=O)O)c2)CCN(c2nc3ccc(Cl)cc3s2)CC1,0.18798449612403118,0.0,0.0,0.0,1.037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.5415644188061443,0.0,0.5882352941176454,0.0,0.0,-0.32061068702289935,0.0,-0.46447140381282503,0.0,0.0,0.809095673679177,0.9639249639249641,0.0,1.042153423881512,-0.08876221498371234,0.0,0.0,0.0,0.0,0.0,1.1128404669260705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612665684830634,0.0,0.0,0.0,-0.3350978409564036,0.0,0.0
27.6,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,0.32364341085271325,0.0,0.0,0.0,-0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,-0.3394983156579386,0.0,-0.11764705882352941,0.0,0.0,-0.9618320610687014,0.0,-0.36048526863084956,0.0,0.0,-0.10843489735387674,0.7619047619047624,0.0,-0.09881172625261347,0.25162866449511456,0.0,0.0,0.0,0.0,0.0,0.22568093385214016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042709867452136,0.0,0.0,0.0,0.0807708320942122,0.0,0.0
31.1,1.0,CCCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,0.556201550387597,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,-0.4322059482223252,0.0,1.5294117647058807,0.0,0.0,0.7175572519083976,0.0,0.47833622183708807,0.0,0.0,-0.022432537011401795,0.3982683982683984,0.0,1.4898867258545554,-0.38494648673801757,0.0,0.0,0.0,0.0,0.0,-0.08560311284046697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04712812960235646,0.0,0.0,0.0,-0.48878843751858697,0.0,1.0
36.6,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,0.44767441860465135,0.0,0.0,0.0,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,-0.34400819293161367,0.0,1.5294117647058807,0.0,0.0,-0.8702290076335868,0.0,-0.589254766031196,0.0,0.0,-0.30475772660748335,0.7388167388167394,0.0,0.28957241531115835,0.20020939972080087,0.0,0.0,0.0,0.0,0.0,0.42801556420233483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0191458026509579,0.0,0.0,0.0,0.05840718491643282,0.0,0.0
23.8,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,0.9399224806201549,0.0,0.0,0.0,-0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,-0.33498845320081666,0.0,0.11764705882352941,0.0,0.0,-1.3282442748091596,0.0,0.5476603119584053,0.0,0.0,1.1215676500195653,0.6810966810966815,0.0,-0.5061126026181195,-0.3300372266170309,0.0,0.0,0.0,0.0,0.0,0.45914396887159553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779086892488958,0.0,0.0,0.0,-0.4459644322845419,0.0,0.0
21.5,1.0,O=C(O)Cc1ccc(Cl)c(OCCC2(C3CCCCC3)CCN(c3nc4ccc(Cl)cc4s3)CC2)c1,-0.7616279069767441,0.0,0.0,0.0,1.037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.6810780021813078,0.0,0.5882352941176454,0.0,0.0,-2.5496183206106857,0.0,-0.9636048526863087,0.0,0.0,-1.4119215618952201,-1.171717171717172,0.0,-0.2083555988590751,1.0945788738948359,0.0,0.0,0.0,0.0,0.0,-0.5525291828793768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7717231222385864,0.0,0.0,0.0,1.002200678046749,0.0,1.0
22.9,1.0,CCC1(CCOc2cc(CC(=O)O)ccc2Cl)CCN(c2nc3ccc(Cl)cc3s2)CC1,-0.5329457364341085,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,-0.44230073260224956,0.0,0.47058823529411764,0.0,0.0,-0.38167938931297574,0.0,-0.4298093587521664,0.0,0.0,0.07111347049229198,-0.6002886002886003,0.0,2.0414631809444894,-0.42077710563052567,0.0,0.0,0.0,0.0,0.0,-0.3035019455252911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04712812960235646,0.0,0.0,0.0,-0.551359067388331,0.0,1.0
28.7,1.0,O=C(O)Cc1cc(Cl)cc(OCCC2(N3CCCC3)CCN(c3nc4ccc(C(F)(F)F)nc4s3)CC2)c1,-0.09883720930232545,0.0,0.0,0.0,-0.8888888888888878,0.0,1.0,0.0,0.0,0.0,0.0,-0.5284722057130837,0.0,-0.9411764705882345,0.0,0.0,-0.10687022900763199,0.0,0.4922010398613515,0.0,0.0,-0.17468838176558898,-0.005772005772005778,0.0,0.18729466948648515,0.5764308980921368,0.0,0.0,0.0,0.0,0.0,-0.05447470817120625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6480117820324013,0.0,0.0,0.0,0.7614346041753399,0.0,0.0
