SMILES,Emax,Unit,Unit_Source,Emax-min,Emax-max
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=NC=C(C=C4)OC(C)C)O,68.0,%,original,68.0,68.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=NC=C(C=C4)OC(C)C)O,164.0,%,original,164.0,164.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=NC=C(C=C4)OC(C)C)O,25.0,%,original,25.0,25.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)OC,0.0,%,original,0.0,0.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,1.0,%,original,1.0,1.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)C(CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,5.0,%,original,5.0,5.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,46.0,%,original,46.0,46.0
C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,100.0,%,original,100.0,100.0
CCCC1=CC(=CC(=C1OCCCCN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,146.0,%,original,146.0,146.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,22.0,%,original,22.0,22.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=CC(=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,126.0,%,original,126.0,126.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,223.0,%,original,223.0,223.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)C,615.0,%,original,615.0,615.0
CCCC1=CC(=CC(=C1OC/C=C\CN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,1.0,%,original,1.0,1.0
CCCC1=CC(=CC(=C1OC/C=C/CN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,182.0,%,original,182.0,182.0
CCCC1=CC(=CC(=C1OCC#CCN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,149.0,%,original,149.0,149.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=CC(=C2)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,429.0,%,original,429.0,429.0
