SMILES,EC50,Unit,Unit_Source,EC50-min,EC50-max
CCCC1=CC(=CC(=C1OCCCCN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,1150,nM,original,1150.0,1150.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,1810,nM,original,1810.0,1810.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=CC(=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,2850,nM,original,2850.0,2850.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,1880,nM,original,1880.0,1880.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)C,700,nM,original,700.0,700.0
CCCC1=CC(=CC(=C1OC/C=C/CN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,800,nM,original,800.0,800.0
CCCC1=CC(=CC(=C1OCC#CCN2C(=O)C(NC2=O)(C)C3=CC=C(C=C3)OC(C)C)CCC)C(C(F)(F)F)(C(F)(F)F)O,610,nM,original,610.0,610.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=CC(=C2)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,500,nM,original,500.0,500.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)C,64,nM,original,64.0,64.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)OC,360,nM,original,360.0,360.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,110,nM,original,110.0,110.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=NC=C(C=C4)OC(C)C)O,58,nM,original,58.0,58.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=NC=C(C=C4)OC(C)C)O,7,nM,original,7.0,7.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=NC=C(C=C4)OC(C)C)O,2900,nM,original,2900.0,2900.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)OC,1660,nM,original,1660.0,1660.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC(=C(C=C2)CCN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,2870,nM,original,2870.0,2870.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)C(CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C)O,2330,nM,original,2330.0,2330.0
CCCC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)OC2=CC=C(C=C2)C(=O)CN3C(=O)C(NC3=O)(C)C4=CC=C(C=C4)OC(C)C,120,nM,original,120.0,120.0
